doc_id	split	source_file	provider	candidate_rank	candidate_title	candidate_doi	candidate_year	candidate_venue	candidate_oa_status	candidate_licenses	abstract_support	support_reason	query_used
27	test	0text27.txt	crossref	1	5.2. Korea has become one of the most energy-intensive economies in the OECD area	10.1787/888932303157					unknown	crossref_no_abstract_available	"""(PD), and Huntington's disease (HD), has become a great challenge for society at large. Most of these diseases"""
27	test	0text27.txt	crossref	2	Abroad	10.1080/05775132.1980.11470598	1980	Challenge			unknown	crossref_no_abstract_available	"""(PD), and Huntington's disease (HD), has become a great challenge for society at large. Most of these diseases"""
27	test	0text27.txt	crossref	3	Alterations in the Myelin Sheaths Adjacent to Traumatic Lesions of Brain	10.1097/00005053-194608000-00020	1946	The Journal of Nervous and Mental Disease			unknown	crossref_no_abstract_available	"""Neurodegenerative disease is a kind of disease caused by the degeneration of neurons and myelin sheaths"""
27	test	0text27.txt	crossref	4	Alzheimer disease and Alzheimer-like dementias	10.21857/m16wjc6j79	2019	Neurodegenerative diseases - dementias : proceedings of the 2nd Rijeka Forum on Neurodegenerative Diseases held on 17th October 2018 in Rijeka			unknown	crossref_no_abstract_available	"""Neurodegenerative disease is a kind of disease caused by the degeneration of neurons and myelin sheaths. With the aging of the global population, the increase of the incidence of neurodegenerative diseases, such as Alzheimer's disease (AD)"""
27	test	0text27.txt	openalex	5	Angiogenic signaling pathways and anti-angiogenic therapy for cancer	10.1038/s41392-023-01460-1	2023	Signal Transduction and Targeted Therapy	gold	cc-by	no	candidate_abstract_no_text_support	proteins vascular biomarkers large detect detecting aptamers detection kind caused degeneration neurons
128	train	0text128.txt	crossref	1	Antioxidants and their physiological roles in redox homeostasis	10.1016/b978-0-443-22335-8.00003-6	2026	Fundamentals of Redox Biology		https://www.elsevier.com/tdm/userlicense/1.0/|https://www.elsevier.com/legal/tdmrep-license|https://doi.org/10.15223/policy-017|https://doi.org/10.15223/policy-037|https://doi.org/10.15223/policy-012|https://doi.org/10.15223/policy-029|https://doi.org/10.15223/policy-004	unknown	crossref_no_abstract_available	functions microelements metals physiological main also crucial development homeostasis redox activity there
128	train	0text128.txt	crossref	2	Batten Disease: A Typical Neuronal Storage Disease or a Genetic Neurodegenerative Disorder Characterized by Excitotoxicity?	10.1007/978-1-4899-0209-2_28	1996	Neurodegenerative Diseases			unknown	crossref_no_abstract_available	"""Neurodegenerative diseases are characterized by a progressive loss of neuronal structures and functions"""
128	train	0text128.txt	openalex	3	Cadmium Toxicity in Plants and Role of Mineral Nutrients in Its Alleviation	10.4236/ajps.2012.310178	2012	American Journal of Plant Sciences	diamond	cc-by	no	candidate_abstract_no_text_support	functions microelements metals physiological main also crucial development homeostasis redox activity there
128	train	0text128.txt	openalex	4	Curcumin as a potential therapeutic agent for treating neurodegenerative diseases	10.1016/j.neuint.2024.105790	2024	Neurochemistry International	hybrid	cc-by	no	candidate_abstract_no_text_support	"""Neurodegenerative diseases are characterized by a progressive loss of neuronal structures and functions"""
128	train	0text128.txt	crossref	5	Fertilizers. Determination of boron, cobalt, copper, iron, manganese, molybdenum and zinc using ICP-AES	10.3403/30330777u					unknown	crossref_no_abstract_available	"""sclerosis (ALS) present certain obvious similarities. Biometal microelements, such as copper, iron, manganese, and zinc, are crucial for"""
133	test	0text133.txt	openalex	1	Abstracts Presented at the Twenty-Sixth Annual International Neuropsychological Society Conference. February 4-7, 1998. Honolulu, Hawaii	10.1017/s1355617798000010	1998	Journal of the International Neuropsychological Society	bronze		no	candidate_abstract_no_text_support	apathy scale depression motor parkinson huntington clinical rating anxiety 0001 symptoms results
133	test	0text133.txt	openalex	2	Advances in the Diagnosis and Management of Psychotic Symptoms in Neurodegenerative Diseases: A Narrative Review	10.1177/08919887231164357	2023	Journal of Geriatric Psychiatry and Neurology	hybrid	cc-by	no	candidate_abstract_no_text_support	apathy scale depression motor parkinson huntington clinical rating anxiety 0001 symptoms results
