doc_id	split	source_file	provider	candidate_rank	candidate_title	candidate_doi	candidate_year	candidate_venue	candidate_oa_status	candidate_licenses	abstract_support	support_reason	query_used
1	train	0text1.txt	crossref	1	2.1.1 PARKINSON DISEASE TREMOR: PATHOPHYSIOLOGY	10.1016/s1353-8020(11)70388-1	2012	Parkinsonism &amp; Related Disorders		https://www.elsevier.com/tdm/userlicense/1.0/	unknown	crossref_no_abstract_available	parkinson huntington behavior disorders muscle symptoms cells chaotic system different common tremor
1	train	0text1.txt	crossref	2	Beyond Tremor, Slowness, and Stiffness	10.1093/med/9780190607555.003.0004	2016	Oxford Medicine Online			unknown	crossref_no_abstract_available	"""Parkinson's and Huntington's diseases are two of the most common neurodegenerative disorders. Tremor, muscle stiffness, and slowness of"""
1	train	0text1.txt	crossref	3	Clinical and Pathological Characteristics of Huntington Disease	10.1016/b978-012088382-0/50026-8	2005	Animal Models of Movement Disorders		https://www.elsevier.com/tdm/userlicense/1.0/	unknown	crossref_no_abstract_available	"""Huntington's disease are severe reduction in muscle control, emotional disturbance, and pathological disorders in brain cells. These diseases"""
1	train	0text1.txt	crossref	4	Emotional Disturbance/Emotional Disorders	10.4324/9780367198459-reprw142-1	2022	Emotional Disturbance/Emotional Disorders			unknown	crossref_no_abstract_available	"""Huntington's disease are severe reduction in muscle control, emotional disturbance, and pathological disorders in brain cells. These diseases"""
1	train	0text1.txt	crossref	5	Emotional Disturbance/Emotional Disorders	10.4324/9780367198459-reprw142-0	2022				unknown	crossref_no_abstract_available	"""Huntington's disease are severe reduction in muscle control, emotional disturbance, and pathological disorders in brain cells. These diseases"""
1	train	0text1.txt	crossref	6	Essential Tremor: One of the Most Common Neurodegenerative Diseases?	10.1159/000323572	2011	Neuroepidemiology		https://www.karger.com/Services/SiteLicenses|https://www.karger.com/Services/SiteLicenses	unknown	crossref_no_abstract_available	"""Parkinson's and Huntington's diseases are two of the most common neurodegenerative disorders"""
1	train	0text1.txt	crossref	7	Huntington Disease, Parkinson Disease, and Other Neurodegenerative Diseases	10.1093/med/9780199794591.003.0065	2012	Neuroglia			unknown	crossref_no_abstract_available	"""Parkinson's and Huntington's diseases are two of the most common neurodegenerative disorders"""
1	train	0text1.txt	crossref	8	Juvenile Huntington Disease	10.1017/9781107323704.097	2017	Progressive Brain Disorders in Childhood		https://www.cambridge.org/core/terms	unknown	crossref_no_abstract_available	"""Huntington's disease are severe reduction in muscle control, emotional disturbance, and pathological disorders in brain cells. These diseases"""
1	train	0text1.txt	crossref	9	Methods and Models of the Nonmotor Symptoms of Parkinson Disease	10.1016/b978-0-12-405195-9.00023-8	2015	Movement Disorders		https://www.elsevier.com/tdm/userlicense/1.0/	unknown	crossref_no_abstract_available	"""Parkinson's and Huntington's diseases are two of the most common neurodegenerative disorders. Tremor, muscle stiffness, and slowness of movement are symptoms of Parkinson's disease. The symptoms of Huntington's disease are severe reduction"""
1	train	0text1.txt	crossref	10	Program: Twenty Fourth Annual Symposium on Etiology, Pathogenesis, and Treatment of Parkinson's Disease and Other Movement Disorders	10.1002/mds.23126	2010	Movement Disorders		http://onlinelibrary.wiley.com/termsAndConditions#vor	unknown	crossref_no_abstract_available	parkinson huntington behavior disorders muscle symptoms cells chaotic system different common tremor
