doc_id	sentence_id	split	sentence_index	document_start	document_end	sentence_char_length	sentence_sha256	normalized_document_sha256	normalization_policy	newline_policy	text_status
0	0_0	test	0	0	137	137	7cc180a34a83e2ac528dc0b0a1887c6c4faf0d88c142f270ace4a10c266ae964	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
0	0_1	test	1	138	310	172	1521d7a18614a86ebf98aa44e9a9bbf085d3853ea2d024a1fd5fc181deb229be	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
0	0_2	test	2	391	502	111	53b82091dee84bff2077f44777b4a65d024c1f187680e542100709d5dc23ff1c	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
0	0_3	test	3	503	674	171	9d000fd6d3701c08fa887dc1ec1e588e1c236e0ef7359e7b0dd10454f2dc8e6d	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
0	0_4	test	4	675	823	148	3ec91838c0d3b6cf049c8c3b14ea69f95c6320393f595eec05121c6174d391d6	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
0	0_5	test	5	824	871	47	f093dab98da61dd40999f4cd1b3819fd54c170ba6f2480e3379fabcc1938e1b2	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
0	0_6	test	6	943	1029	86	3585e87fe7c2b26a7018527943064ac10dc94881d614436d08e845c6d3db9692	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
0	0_7	test	7	311	390	79	bd30c92c09a857b5a49ebb8a2539f8d1498b78b6a8d4fd1b276510dad0209354	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
0	0_8	test	8	872	942	70	ff986266800c99ca3a4b2b2af63deb00f71c4b2fe0e9dd6739101d3a936a9d93	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1	1_0	train	0	94	181	87	a62168f9626e7fa2851b94305b9cbd8ceac203b34f2d49f5f17e43c434a25007	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1	1_1	train	1	880	965	85	aeffda0479be7e96dad141cb494964d3b26fb154f9b1752620e97eff43e13cb6	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1	1_2	train	2	182	324	142	bdf008fee0ff8e6b0c40a1edbb2acddce1ea13136e54f64f5f9168e393d0037b	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1	1_3	train	3	325	420	95	9370648d31621e042c0dd53a1e76d1fb9ea48e769240b45c091b448f37367f9b	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1	1_4	train	4	734	879	145	f1fd5dd58558ad0bba3686cd03710ae58e7cb5118b0c62eb3d1a13f5b7525816	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1	1_5	train	5	0	93	93	34ef24d3ab885f0605310ba901658bbfa06d7e1016d1d4dd99381852c5fa79ba	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1	1_6	train	6	421	596	175	244279337fa275b53cac8605698a677195131e8bbd888ef1251c4a7e993f8499	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
1	1_7	train	7	597	733	136	338bcdf91b3f0ba33b5e111099f1248a1622151e7649a65b342dc3d769c96c01	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	excluded
10	10_0	train	0	0	194	194	2e795ae05ae67e7c9fe3638242ac4b45f2238a79749c34f92a7f3bb8df0bbe39	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
10	10_1	train	1	722	1041	319	e67df3c3141e76d189fc108a94042ad305995896735ee13f1522971fd1abb3ec	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
10	10_2	train	2	1042	1242	200	e5236d3844c3fe988308939e10d457af93841a08b175d8d810abf05682ff0e73	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
10	10_3	train	3	1574	1703	129	e2402301923f84564f9a86ef2285f3d42d17e60b63a54e67fad51a2e5af09c5c	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
10	10_4	train	4	2171	2184	13	1b9a21f51dbc65da0ff166719fcd16b8150540e8cf34ca655f55f56a1fe537e2	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
10	10_5	train	5	2185	2314	129	acf659eac503e8068b7cd2122fa046c458f2c60ce2dc96011aecb2fa368e045e	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
10	10_6	train	6	353	721	368	c3a4139366968574fa165b8cc3017a40ba4476842ef033b9ae823a4bfff98eac	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
10	10_7	train	7	1243	1573	330	1829c5a29348f672638b90e7414d46d959378a018a40de9920fe4f2010b82fc4	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
10	10_8	train	8	1704	2170	466	9dcced407b2fc677ce8dfe721b7ee5ae66c27086960c99b19fd588059195f4f9	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
10	10_9	train	9	195	352	157	fe525d5412d310397f24d5c7009617000872f665d4a8b291104bfba5458084d3	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
10	10_10	train	10	2315	2507	192	6433fa01e70f2b8128722fd5586099c70395f469564122a9c6dff5098230c0c5	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
1009	1009_0	train	0	0	155	155	46a5907d1b68dcaa36e6056e63d643d9ab5a4eb8e1bf370b4a2f94b5efa09fa3	983a467f37e97101aeffe04b884e62c90964fbd6cdd8288ff4f06c23079cf138	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
1009	1009_1	train	1	156	272	116	92bba81f8228308d20f15f41e58ff41f5ea4bc723e8450674ef4cce1cb551cf7	983a467f37e97101aeffe04b884e62c90964fbd6cdd8288ff4f06c23079cf138	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
1009	1009_2	train	2	273	487	214	a408226dce18e355937eab113f41914b75a03be958f336fb550f37ce0f099098	983a467f37e97101aeffe04b884e62c90964fbd6cdd8288ff4f06c23079cf138	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
1009	1009_3	train	3	488	578	90	e7c0780c086446ca9f0a0b927f39aece93dcbd98d4dd7eb77761778ce086ec23	983a467f37e97101aeffe04b884e62c90964fbd6cdd8288ff4f06c23079cf138	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
1009	1009_4	train	4	579	798	219	6b849ba58719b5b76070e587f30e101a81b3fda23476dbc46b3ee5ef8c6782ed	983a467f37e97101aeffe04b884e62c90964fbd6cdd8288ff4f06c23079cf138	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
1009	1009_5	train	5	1010	1143	133	7a2d62850f56e707fc8554358de184d5e84fb29a4ceb290fa03fc925aca696d2	983a467f37e97101aeffe04b884e62c90964fbd6cdd8288ff4f06c23079cf138	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
1009	1009_6	train	6	1144	1271	127	431b7a770a5b312c5d7c680275900a3bda23dd22a4d8fa7167d6fb8843575de3	983a467f37e97101aeffe04b884e62c90964fbd6cdd8288ff4f06c23079cf138	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
1009	1009_7	train	7	799	1009	210	765c9f306a1dc4c84a12f2c1fa168b25d3dd339d48e8528de67442ccae8e3207	983a467f37e97101aeffe04b884e62c90964fbd6cdd8288ff4f06c23079cf138	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
101	101_0	train	0	0	271	271	c30b71df6673221eefcb1a40fd42af4c491a8678b4294ab39e191663d0ee2ec2	f906e84e577fcd165d971c33b62e09023b7823c35a374a1427a2e74ae720b02f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
101	101_1	train	1	272	351	79	8d27af961fa7ee9933f6650227b9b26ac3488f7ab294b5f9334ff577233fbb58	f906e84e577fcd165d971c33b62e09023b7823c35a374a1427a2e74ae720b02f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
101	101_2	train	2	352	471	119	6e5cee3311e88f44bfdf1f4ef3cb8cfd9a001f59504276122584f232991a8bf8	f906e84e577fcd165d971c33b62e09023b7823c35a374a1427a2e74ae720b02f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
101	101_3	train	3	472	599	127	a119cdf3e379334b088281d61ec5eb7fca23c7a6cb05747547841feae468efbf	f906e84e577fcd165d971c33b62e09023b7823c35a374a1427a2e74ae720b02f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
101	101_4	train	4	600	728	128	517e4a5d4b5e72bc58f2967a8267922f69abbf61896191f7a6573073a754edcc	f906e84e577fcd165d971c33b62e09023b7823c35a374a1427a2e74ae720b02f	reviewed_release_text_utf8	preserve_reviewed_brat_newlines	included
