doc_id	split	source_file	provider	candidate_rank	candidate_title	candidate_doi	candidate_year	candidate_venue	candidate_oa_status	candidate_licenses	abstract_support	support_reason	query_used
1	train	0text1.txt	openalex	1	Modeling of Neurodegenerative Diseases Using Discrete Chaotic Systems	10.1088/0253-6102/71/10/1241	2019	Communications in Theoretical Physics	closed		yes	candidate_abstract_prefix_exact_match	parkinson huntington behavior disorders muscle symptoms cells chaotic system different common tremor
27	test	0text27.txt	openalex	1	Aptamer Detection of Neurodegenerative Disease Biomarkers	10.1007/978-1-0716-1712-0_15	2021	Neuromethods	closed		yes	candidate_page_candidate_abstract_prefix_exact_match	"""Neurodegenerative disease is a kind of disease caused by the degeneration of neurons and myelin sheaths"""
128	train	0text128.txt	openalex	1	Roles of Metal Microelements in Neurodegenerative Diseases	10.1007/s11062-020-09854-5	2020	Neurophysiology	closed		yes	candidate_page_candidate_abstract_prefix_exact_match	"""Neurodegenerative diseases are characterized by a progressive loss of neuronal structures and functions"""
136	val	0text136.txt	openalex	1	Oxidative Stress and Cellular Dysfunction in Neurodegenerative Disease	10.1007/978-1-0716-1712-0_6	2021	Neuromethods	closed		yes	candidate_page_candidate_abstract_prefix_exact_match	"""Neurodegenerative diseases are conditions characterized by irreversible loss of neurons and loss of cognitive and motor function, mostly occurring in elderly people"""
143	train	0text143.txt	openalex	1	Neuroinflammation in Huntington’s Disease	10.1007/978-1-0716-1712-0_9	2021	Neuromethods	closed		yes	candidate_page_candidate_abstract_prefix_exact_match	"""as a potential target for therapeutic intervention. Although the relationship between neuroinflammation markers and the disease pathology is"""
160	train	0text160.txt	openalex	1	Imaging Biomarkers in Huntington’s Disease	10.1007/978-1-0716-1712-0_19	2021	Neuromethods	closed		yes	candidate_page_candidate_abstract_prefix_exact_match	"""Huntington's disease (HD) is a fatal neurodegenerative disorder caused by an abnormal CAG repeat expansion in the HTT gene, that produces a mutant protein thought to directly cause brain cell damage"""
275	test	0text275.txt	openalex	1	Rule based classification of neurodegenerative diseases using data driven gait features	10.1007/s12553-018-0274-y	2018	Health and Technology	closed		yes	candidate_page_candidate_abstract_prefix_exact_match	"""driven features approach along with autocorrelation and cross correlation between gait time series to create different feature set"""
1017	train	0text1017.txt	openalex	1	Immuno-digital invasive cleavage assay for analyzing Alzheimer’s amyloid ß-bound extracellular vesicles	10.1186/s13195-022-01073-w	2022	Alzheimer s Research & Therapy	gold	cc-by	yes	candidate_page_candidate_abstract_prefix_exact_match	"""Background The protracted preclinical stage of Alzheimer's disease (AD) provides the opportunity for early intervention to prevent the"""
1417	train	0text1417.txt	openalex	1	The role of systemic ımmune ınflammatory ındex in showing active lesion ın patients with multiple sclerosis	10.1186/s12883-023-03101-0	2023	BMC Neurology	gold	cc-by	yes	candidate_page_candidate_abstract_prefix_exact_match	"""Background Multiple sclerosis (MS) has two pathophysiological processes, one inflammatory and the other degenerative"""
1498	test	0text1498.txt	openalex	1	Anterolateral entorhinal cortex thickness as a new biomarker for early detection of Alzheimer’s disease	10.1101/19011825	2019	medRxiv	green	cc-by-nd	yes	candidate_abstract_phrase_match	alec thickness pmec cognitive cortical associations status also biomarker introduction loss entorhinal
1500	val	0text1500.txt	openalex	1	Validation of the Alzheimer Disease Dementia Conversion-Related Pattern as an ATN Biomarker of Neurodegeneration	10.1212/wnl.0000000000011521	2021	Neurology	green	other-oa	yes	candidate_page_candidate_abstract_phrase_match	adcrp dementia score conversion subject defined biologically total group predictor development value
