doc_id	split	source_file	sha256_txt	match_confidence	match_reason	query_used	source_title	doi	pmid	pmcid	publication_year	journal	publisher	epmc_is_open_access	epmc_license	openalex_is_oa	openalex_oa_status	openalex_licenses	unpaywall_is_oa	unpaywall_oa_status	unpaywall_licenses	crossref_license_urls	source_text_decision	decision_rationale
1	train	0text1.txt	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	manual_review	no_abstract_text_support	Parkinson's and Huntington's diseases are two of the most common neurodegenerative disorders	The Impact of Chemical Toxicants and Air Pollutants on Neurodegenerative Disorders and Their Underlying Potential Mechanisms: A Literature Review.	10.1002/hsr2.72256	41988392	PMC13077662	2026	Health science reports	Wiley	Y	cc by-nc-nd	True	gold	cc-by|cc-by-nc-nd				http://creativecommons.org/licenses/by-nc-nd/4.0/|http://doi.wiley.com/10.1002/tdm_license_1.1	manual_review	match_manual_review:no_abstract_text_support; restrictive_cc_licence:cc-by-nc-nd
27	test	0text27.txt	4856e5904ae56a2efb06f2b71f561fabc630bd2db260714108fd41e9b103db63	manual_review	no_abstract_text_support	Neurodegenerative disease is a kind of disease caused by the degeneration of neurons and myelin sheaths	The Future of PET Imaging in Multiple Sclerosis: Characterisation of Individual White Matter Lesions.	10.3390/jcm14134439	40648813	PMC12250503	2025	Journal of clinical medicine	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	manual_review	match_manual_review:no_abstract_text_support; clear_permissive_licence:cc-by
128	train	0text128.txt	5ade7a9696237ef721134f116efcb8e2da325175e63a2c8470c306b2c607518a	manual_review	no_abstract_text_support	Neurodegenerative diseases are characterized by a progressive loss of neuronal structures and functions	Adult Neurogenesis in Neurodegenerative Diseases: Mechanisms of Dysregulation in Alzheimer's and Parkinson's Disease.	10.3390/ijms27062742	41898603	PMC13026997	2026	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	manual_review	match_manual_review:no_abstract_text_support; clear_permissive_licence:cc-by
133	test	0text133.txt	e7f9ad788569b5426fa2277d05fae7c077dac69010040744ff054c6879bdca4c	manual_review	no_abstract_text_support	Apathy is one of the most frequent, disabling and difficult to treat non-motor symptoms manifesting in many neurodegenerative diseases, particularly in Parkinson disease and Huntington disease	ABSTRACTS FOR E-POSTERS			PMC12945384	2026	Indian journal of psychiatry		Y	cc by-nc-sa								manual_review	match_manual_review:no_abstract_text_support; restrictive_cc_licence:cc-by-nc-sa
136	val	0text136.txt	d721f6008540e7e6898ccddda41582ac6bba2850fcbcf2c97dde9c7d97f36e26	manual_review	no_abstract_text_support	Neurodegenerative diseases are conditions characterized by irreversible loss of neurons and loss of cognitive and motor function, mostly occurring in elderly people	Neuroinflammation and Oxidative Stress in Parkinson's Disease, Alzheimer's Disease, and COVID-19: Microglia-Neutrophil Interaction.	10.1021/acsomega.5c10397	41696228	PMC12902863	2026	ACS omega	American Chemical Society (ACS)	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	manual_review	match_manual_review:no_abstract_text_support; clear_permissive_licence:cc-by
143	train	0text143.txt	6f75274a2d406075d9b79088093609198dbd6ccc2c06269eeda949dc14b6aa96	manual_review	no_abstract_text_support	Huntington's disease (HD) is a debilitating inherited neurodegenerative disorder characterized by motor, cognitive and psychiatric deficits	Overview of Huntington's Disease and Emerging Treatment Strategies: A Narrative Review.	10.7759/cureus.98243	41480464	PMC12755283	2025	Cureus	Springer Science and Business Media LLC	Y	cc by	True	diamond	cc-by					manual_review	match_manual_review:no_abstract_text_support; clear_permissive_licence:cc-by
160	train	0text160.txt	fa261579277f53f0ca81bf7e78f9c5b5899ca636dcb41ddc94e51b6726631bbf	manual_review	no_abstract_text_support	Huntington's disease (HD) is a fatal neurodegenerative disorder caused by an abnormal CAG repeat expansion in the HTT gene, that produces a mutant protein thought to directly cause brain cell damage	Advances in gene and cellular therapeutic approaches for Huntington's disease.	10.1093/procel/pwae042	39121016	PMC12120246	2025	Protein & cell	Oxford University Press (OUP)	Y	cc by	True	diamond	cc-by				https://creativecommons.org/licenses/by/4.0/	manual_review	match_manual_review:no_abstract_text_support; clear_permissive_licence:cc-by
229	test	0text229.txt	e82842fe6da7710e2cfbd6cb5cee7aca192be0453398516938883f7a5e4fbe4f	no_match	0	Neurodegenerative diseases (NDDs) such as amyotrophic lateral sclerosis (ALS), Huntington's disease (HD), and Parkinson's disease (PD) can manifest themselves anatomically by degeneration in the brain as well as motor sy																	manual_review	match_no_match:0; no_clear_redistribution_licence
275	test	0text275.txt	702082248941d294fcdd6fbc77df070835402179631dea9746c0cd4aaec3edbd	manual_review	no_abstract_text_support	Classification of neurodegenerative diseases (NDD) like Parkinson's disease (PD), Amyotrophic Lateral Sclerosis (ALS), and Huntington's disease (HD) is of high clinical importance	NDDRF 2.0: An update and expansion of risk factor knowledge base for personalized prevention of neurodegenerative diseases.	10.1002/alz.70282	40371632	PMC12079438	2025	Alzheimer's & dementia : the journal of the Alzheimer's Association	Wiley	Y	cc by-nc-nd	True	hybrid	cc-by-nc-nd|other-oa				http://creativecommons.org/licenses/by-nc-nd/4.0/	manual_review	match_manual_review:no_abstract_text_support; restrictive_cc_licence:cc-by-nc-nd
556	train	0text556.txt	3931e94251587e07314b576ba9d8265282e8e687f54eeabc325070f8703130f7	manual_review	no_abstract_text_support	Proteins that misfold may accumulate and cause disorders like Alzheimer's and Parkinson's	New progress on the role and mechanism of tau protein in Alzheimer's disease and depression.	10.3389/fneur.2025.1551273	41393998	PMC12698442	2025	Frontiers in neurology	Frontiers Media SA	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	manual_review	match_manual_review:no_abstract_text_support; clear_permissive_licence:cc-by
