doc_id	split	source_file	sha256_txt	match_confidence	match_reason	query_used	source_title	doi	pmid	pmcid	publication_year	journal	publisher	epmc_is_open_access	epmc_license	openalex_is_oa	openalex_oa_status	openalex_licenses	unpaywall_is_oa	unpaywall_oa_status	unpaywall_licenses	crossref_license_urls	source_text_decision	decision_rationale
0	test	0text0.txt	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	high	abstract_prefix_exact_match	"""Huntington's disease is a neurodegenerative autosomal disease results due to expansion of polymorphic CAG repeats in the huntingtin gene."""	Huntington's Chorea-a Rare Neurodegenerative Autosomal Dominant Disease: Insight into Molecular Genetics, Prognosis and Diagnosis.	10.1007/s12010-021-03523-x	34235640		2021	Applied biochemistry and biotechnology	Springer Science and Business Media LLC	N		False	closed					https://www.springer.com/tdm|https://www.springer.com/tdm	exclude_text	tdm_licence_only
6	train	0text6.txt	8fd09aa504646225c615f2a75fc1fb37cffe463d9b4d5127cc4e2262d962c691	high	abstract_prefix_exact_match	"""Neurodegenerative diseases such as Alzheimer's, Parkinson's and Huntington disease have serious concern due to its effect on the quality of life of affected persons."""	Nanotechnology: Its Application in Treating Neurodegenerative Diseases.	10.2174/1871527319666200916121515	32938356		2021	CNS & neurological disorders drug targets	Bentham Science Publishers Ltd.	N		False	closed						exclude_text	oa_status_not_redistributable:closed
9	test	0text9.txt	059fc54e3d6ea10d8d437970ff9a653a56ab61de2a86b4750f1d2a4201cc6028	high	abstract_prefix_exact_match	"""Recent genome-wide association studies of Huntington's disease (HD) primarily highlighted genes involved in DNA damage repair mechanisms as modifiers of age at onset and disease severity, consistent with evidence that more DNA repair genes"""	DNA Damage Repair in Huntington's Disease and Other Neurodegenerative Diseases.	10.1007/s13311-019-00768-7	31364066	PMC6985310	2019	Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics	Elsevier BV	N		True	bronze					https://www.elsevier.com/tdm/userlicense/1.0/|https://www.elsevier.com/legal/tdmrep-license|http://www.elsevier.com/open-access/userlicense/1.0/	exclude_text	oa_status_not_redistributable:bronze
17	train	0text17.txt	3dcd1b990ad7d3863f6230e4b760797e74bbe813f762099a6b147c9cb8023d1f	high	abstract_prefix_exact_match	"""Huntington's disease (HD) is a devastating neurodegenerative disorder that urgently needs disease-modifying therapeutics."""	Huntington's Disease Regulatory Science Consortium: Accelerating Medical Product Development.	10.3233/jhd-220533	35466945		2022	Journal of Huntington's disease	SAGE Publications	N		False	closed						exclude_text	oa_status_not_redistributable:closed
33	train	0text33.txt	081338449bac80231ba5f7fb09ce776330c6a85cb41c3c0b94014f2ca90ced1d	high	abstract_prefix_exact_match	"""Huntington disease is an inherited, progressive, incurable neurodegenerative disorder that primarily affects cells in the brain."""	Hunting out the autophagic problem in Huntington disease.	10.1080/15548627.2022.2069438	35468035	PMC9673967	2022	Autophagy	Informa UK Limited	N		True	green						exclude_text	no_clear_redistribution_licence
47	train	0text47.txt	3572f2af8aa4472b4fe59c6e7ba8f2a2ab9c56cd78c5a97fee4e14dbe1e15747	high	abstract_prefix_exact_match	"""Neurodegenerative diseases are neurological disorders characterized by progressive neuronal degeneration, such as Parkinson's disease, Alzheimer's disease, amyotrophic lateral sclerosis and Huntington's disease."""	Role of connexins in neurodegenerative diseases (Review).	10.3892/mmr.2021.12034	33760195		2021	Molecular medicine reports	Spandidos Publications	N		False	closed						exclude_text	oa_status_not_redistributable:closed
78	train	0text78.txt	cb618cf79028ef1529dcb97ade638c564014bf34194fca8155cd4d27a86d5065	high	abstract_prefix_exact_match	"""Neurodegenerative diseases are incongruous, commonly age-related disorders characterized by progressive neuronal loss, comprising the most prevalent being Alzheimer's disease, Parkinson's disease, and Huntington's disease."""	Tantalizing role of p53 molecular pathways and its coherent medications in neurodegenerative diseases.	10.1016/j.ijbiomac.2021.01.042	33440210		2021	International journal of biological macromolecules	Elsevier BV	N		False	closed					https://www.elsevier.com/tdm/userlicense/1.0/|https://www.elsevier.com/legal/tdmrep-license|https://doi.org/10.15223/policy-017|https://doi.org/10.15223/policy-037|https://doi.org/10.15223/policy-012|https://doi.org/10.15223/policy-029|https://doi.org/10.15223/policy-004	exclude_text	oa_status_not_redistributable:closed
84	val	0text84.txt	14dfdf09a22557b12030f3366634e452e69127747c8b1719e1113793353369f4	high	abstract_prefix_exact_match	"""Decades of research on the prion protein and its associated diseases have caused a paradigm shift in our understanding of infectious agents."""	Huntington's disease: lessons from prion disorders.	10.1007/s00415-021-10418-8	33625583		2021	Journal of neurology	Springer Science and Business Media LLC	N		False	closed					https://www.springer.com/tdm|https://www.springer.com/tdm	exclude_text	tdm_licence_only
86	val	0text86.txt	1b92686074b08f78726365821efdd6e90df548cdce330423f2c4a5d1f9291397	high	abstract_prefix_exact_match	"""Huntington's disease (HD) is an autosomal-dominant neurodegenerative disorder encoding a mutant form of the huntingtin protein (HTT)."""	Stem cells in animal models of Huntington disease: A systematic review.	10.1016/j.mcn.2019.01.006	30685323		2019	Molecular and cellular neurosciences	Elsevier BV	N		False	closed					https://www.elsevier.com/tdm/userlicense/1.0/|https://www.elsevier.com/legal/tdmrep-license	exclude_text	oa_status_not_redistributable:closed
98	train	0text98.txt	900f9ca0573a90f6c9c7584329dbc0549f6511a01d6b49d4710b10514db5d8d2	high	abstract_prefix_exact_match	"""Huntington's disease (HD) is a rare neurodegenerative disease associated with disability and loss of patient independence."""	Assessment of Caregiver Burden in Huntington's Disease.	10.3233/jhd-180326	30594932		2019	Journal of Huntington's disease	SAGE Publications	N		False	closed						exclude_text	oa_status_not_redistributable:closed
