doc_id	split	source_file	sha256_txt	match_confidence	match_reason	source_title	doi	pmid	pmcid	publication_year	journal	publisher	epmc_is_open_access	epmc_license	openalex_is_oa	openalex_oa_status	openalex_licenses	unpaywall_is_oa	unpaywall_oa_status	unpaywall_licenses	crossref_license_urls	source_text_decision
2	train	0text2.txt	2a828f2b86e80fb7d73515e3e4f9aec80e3ba49a7185bcc63453cd65c251be61	high	abstract_prefix_exact_match	Mitophagy Regulates Neurodegenerative Diseases.	10.3390/cells10081876	34440645	PMC8392649	2021	Cells	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
10	train	0text10.txt	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	high	abstract_prefix_exact_match	Translating cell therapies for neurodegenerative diseases: Huntington's disease as a model disorder.	10.1093/brain/awac086	35262656	PMC9166564	2022	Brain : a journal of neurology	Oxford University Press (OUP)	Y	cc by	True	hybrid	cc-by|other-oa|public-domain				https://creativecommons.org/licenses/by/4.0/	include_text
12	train	0text12.txt	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	high	abstract_prefix_exact_match	Cellular Mechanisms of Melatonin: Insight from Neurodegenerative Diseases.	10.3390/biom10081158	32784556	PMC7464852	2020	Biomolecules	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
13	val	0text13.txt	37fb3ee684b33aa4fedca66829e4933281754c14bac9d9d9a93b202bd09fdf38	high	abstract_prefix_exact_match	Molecular Strategies to Target Protein Aggregation in Huntington's Disease.	10.3389/fmolb.2021.769184	34869596	PMC8636123	2021	Frontiers in molecular biosciences	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa|other-oa				https://creativecommons.org/licenses/by/4.0/	include_text
16	train	0text16.txt	b7a4b9e6c1567d5ea91c3ce493f9b7544f350194f144728f5e02cc33ff4cdc87	high	abstract_prefix_exact_match	Mast Cells in Neurodegenerative Disease.	10.3389/fncel.2019.00171	31133804	PMC6524694	2019	Frontiers in cellular neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
28	test	0text28.txt	7b3835f12568b37b2fe6330a7d1e56a70fb9d74babef3f3ca391a585070cad58	high	abstract_prefix_exact_match	Management of Agitation in Huntington's Disease: A Review of the Literature.	10.7759/cureus.9748	32944463	PMC7489774	2020	Cureus	Springer Science and Business Media LLC	Y	cc by	True	diamond	cc-by					include_text
36	train	0text36.txt	80ead280084c907296ab5c4447a0ce71798fb5455d7e6c17e23f55bde34da5a1	high	abstract_prefix_exact_match	Peroxiredoxins in Neurodegenerative Diseases.	10.3390/antiox9121203	33265993	PMC7761365	2020	Antioxidants (Basel, Switzerland)	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
40	train	0text40.txt	75f7caa9788cb91896af5445e0cf0f345e45f7c74c67833eea16de863d2f7796	high	abstract_prefix_exact_match	Autophagy in Neurodegenerative Diseases: A Hunter for Aggregates.	10.3390/ijms21093369	32397599	PMC7247013	2020	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
45	train	0text45.txt	ff0b8798041920c498e731a5989e59a851bf544f9da7c99921ad747a15567b42	high	abstract_prefix_exact_match	Prionoid Proteins in the Pathogenesis of Neurodegenerative Diseases.	10.3389/fnmol.2019.00271	31780895	PMC6861308	2019	Frontiers in molecular neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
61	train	0text61.txt	898af659cd3ed906411a0d5cad9a5ed0fae8dd5b0036dac169618b4218220f0e	high	abstract_prefix_exact_match	Proteotoxicity and Neurodegenerative Diseases.	10.3390/ijms21165646	32781742	PMC7460676	2020	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text
