doc_id	split	source_file	sha256_txt	match_confidence	match_reason	query_used	source_title	doi	pmid	pmcid	publication_year	journal	publisher	epmc_is_open_access	epmc_license	openalex_is_oa	openalex_oa_status	openalex_licenses	unpaywall_is_oa	unpaywall_oa_status	unpaywall_licenses	crossref_license_urls	source_text_decision	decision_rationale
0	test	0text0.txt	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	high	abstract_prefix_exact_match	"""Huntington's disease is a neurodegenerative autosomal disease results due to expansion of polymorphic CAG repeats in the huntingtin gene"" || ""Huntington's disease is a neurodegenerative autosomal disease results due to expansion of polymorphic CAG repeats in the huntingtin"" || ""the alteration of the translation control leading to unwanted protein synthesis and neuronal function. Consequences of mutant huntington"" || ""The factors which are taken into account are-genetic modifiers, maternal protection i.e excessive paternal transmission, superior ageing genes"" || ""has been given to the molecular pathogenesis which includes-motor disturbance, cognitive disturbance and neuropsychiatric disturbance. The diagnosis part"" || Huntington's disease is a neurodegenerative autosomal disease results due to expansion of polymorphic CAG repeats in the huntingtin gene"	Huntington's Chorea-a Rare Neurodegenerative Autosomal Dominant Disease: Insight into Molecular Genetics, Prognosis and Diagnosis.	10.1007/s12010-021-03523-x	34235640		2021	Applied biochemistry and biotechnology	Springer Science and Business Media LLC	N		False	closed					https://www.springer.com/tdm|https://www.springer.com/tdm	exclude_text	tdm_licence_only
1	train	0text1.txt	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	high	candidate_abstract_prefix_exact_match	https://doi.org/10.1088/0253-6102/71/10/1241	Modeling of Neurodegenerative Diseases Using Discrete Chaotic Systems	10.1088/0253-6102/71/10/1241			2019	Communications in Theoretical Physics		Y	cc by-nc-nd	True	gold	cc-by|cc-by-nc-nd				http://creativecommons.org/licenses/by-nc-nd/4.0/|http://doi.wiley.com/10.1002/tdm_license_1.1	exclude_text	manual_resolution:supported_candidate_search; candidate_source_oa_status:closed; no permissive redistribution licence identified; provider=openalex; candidate_rank=1
2	train	0text2.txt	2a828f2b86e80fb7d73515e3e4f9aec80e3ba49a7185bcc63453cd65c251be61	high	abstract_prefix_exact_match	"""Mitochondria play an essential role in supplying energy for the health and survival of neurons"" || ""Mitochondria play an essential role in supplying energy for the health and survival of neurons. Mitophagy is a"" || ""process that removes dysfunctional or redundant mitochondria. This process preserves mitochondrial health. However, defective mitophagy triggers the accumulation"" || ""and signaling pathways behind mitophagy regulation. Furthermore, we focus on the recent advances in understanding the potential role"" || ""advances in understanding the potential role of mitophagy in the pathogenesis of major neurodegenerative diseases (Parkinson's, Alzheimer's, Huntington's"" || Mitochondria play an essential role in supplying energy for the health and survival of neurons"	Mitophagy Regulates Neurodegenerative Diseases.	10.3390/cells10081876	34440645	PMC8392649	2021	Cells	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
4	train	0text4.txt	8a52b5c19dd9e90498cd0a8966fd6f045fba1a636d432e2a4993b1017bfff21f	high	abstract_prefix_exact_match	"""Olfactory dysfunction is a common symptom in patients with neurodegenerative disorders, including Huntington's disease (HD)"" || ""Olfactory dysfunction is a common symptom in patients with neurodegenerative disorders, including Huntington's disease (HD). Understanding its pathophysiology"" || ""of olfaction, its role in neurodegeneration, and its characteristics in patients with HD. In the general population, olfactory"" || ""to concerns about cross-cultural understanding. Pathogenic huntingtin deposits have been found in the olfactory bulb of individuals with"" || ""in both premanifest and manifest patients with HD, showing a progressive decline over time with more severe deficits"" || Olfactory dysfunction is a common symptom in patients with neurodegenerative disorders, including Huntington's disease (HD)"	Olfactory Dysfunction in Huntington's Disease.	10.3233/jhd-210497	34719504	PMC8673514	2021	Journal of Huntington's disease	SAGE Publications	Y	cc by-nc	True	hybrid	cc-by-nc				https://creativecommons.org/licenses/by-nc/4.0/	exclude_text	restrictive_cc_licence:cc-by-nc
6	train	0text6.txt	8fd09aa504646225c615f2a75fc1fb37cffe463d9b4d5127cc4e2262d962c691	high	abstract_prefix_exact_match	"""Neurodegenerative diseases such as Alzheimer's, Parkinson's and Huntington disease have serious concern due to its effect on the quality of life of affected persons"" || ""Neurodegenerative diseases such as Alzheimer's, Parkinson's and Huntington disease have serious concern due to its effect on the"" || ""quality of life of affected persons. They have some limitations at diagnostic as well as the treatment level"" || ""contribute significantly to solve the problem. There are several treatment strategies for the neurodegenerative diseases, but most of"" || ""treatment strategies for the neurodegenerative diseases, but most of them fail to cross the Blood-Brain Barrier (BBB). The"" || Neurodegenerative diseases such as Alzheimer's, Parkinson's and Huntington disease have serious concern due to its effect on the quality of life of affected persons"	Nanotechnology: Its Application in Treating Neurodegenerative Diseases.	10.2174/1871527319666200916121515	32938356		2021	CNS & neurological disorders drug targets	Bentham Science Publishers Ltd.	N		False	closed						exclude_text	oa_status_not_redistributable:closed
9	test	0text9.txt	059fc54e3d6ea10d8d437970ff9a653a56ab61de2a86b4750f1d2a4201cc6028	high	abstract_prefix_exact_match	"""Recent genome-wide association studies of Huntington's disease (HD) primarily highlighted genes involved in DNA damage repair mechanisms as modifiers of age at onset and disease severity, consistent with evidence that more DNA repair genes"" || ""Recent genome-wide association studies of Huntington's disease (HD) primarily highlighted genes involved in DNA damage repair mechanisms as"" || ""repair genes are being implicated in late age-onset neurodegenerative diseases. This provides an exciting opportunity to advance therapeutic"" || ""potential universal trigger of oxidative DNA damage shared in these late age-onset diseases is the increase of reactive"" || ""other hypotheses of neurodegeneration. We discuss the potential commonality of DNA damage repair pathways in HD and other"" || Recent genome-wide association studies of Huntington's disease (HD) primarily highlighted genes involved in DNA damage repair mechanisms as modifiers of age at onset and disease severity, consistent with evidence that mo"	DNA Damage Repair in Huntington's Disease and Other Neurodegenerative Diseases.	10.1007/s13311-019-00768-7	31364066	PMC6985310	2019	Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics	Elsevier BV	N		True	bronze					https://www.elsevier.com/tdm/userlicense/1.0/|https://www.elsevier.com/legal/tdmrep-license|http://www.elsevier.com/open-access/userlicense/1.0/	exclude_text	oa_status_not_redistributable:bronze
10	train	0text10.txt	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	high	abstract_prefix_exact_match	"""There has been substantial progress in the development of regenerative medicine strategies for CNS disorders over the last decade, with progression to early clinical studies for some conditions"" || ""There has been substantial progress in the development of regenerative medicine strategies for CNS disorders over the last decade, with progression to early clinical studies for some conditions. However, there are multiple challenges along"" || ""There has been substantial progress in the development of regenerative medicine strategies for CNS disorders over the last"" || ""clinical studies; scaling-up, characterization, quality control and validation of the cell product; design, validation and approval of the"" || ""disease presents a clear unmet need, but, importantly, it is an autosomal dominant condition with a readily available"" || ""for Huntington's Disease and the European Huntington's Disease Network Advanced Therapies Working Group, established to identify the challenges"" || There has been substantial progress in the development of regenerative medicine strategies for CNS disorders over the last decade, with progression to early clinical studies for some conditions"	Translating cell therapies for neurodegenerative diseases: Huntington's disease as a model disorder.	10.1093/brain/awac086	35262656	PMC9166564	2022	Brain : a journal of neurology	Oxford University Press (OUP)	Y	cc by	True	hybrid	cc-by|other-oa|public-domain				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|public-domain
11	test	0text11.txt	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	high	abstract_phrase_match	"""patients and 25 gender- and age-matched controls, were enrolled. Unified Huntington's Disease Rating Score-Motor part was assessed in"" || ""HD patients had a significant reduction in macular thickness in both inner and outer superior sectors and the"" || ""negatively correlated with macular thickness in HD patients. However, the severity of motor involvement was not correlated with"" || Background Retinal biomarkers in neurodegenerative disorders have attracted much attention in recent years"	Huntington's disease and neurovascular structure of retina.	10.1007/s10072-022-06232-3	35771295		2022	Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology	Springer Science and Business Media LLC	N		False	closed					https://www.springer.com/tdm|https://www.springer.com/tdm	exclude_text	tdm_licence_only
12	train	0text12.txt	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	high	abstract_prefix_exact_match	"""Neurodegenerative diseases are the second most common cause of death and characterized by progressive impairments in movement or mental functioning in the central or peripheral nervous system"" || ""Neurodegenerative diseases are the second most common cause of death and characterized by progressive impairments in movement or"" || ""become an emerging public health challenge for our society. Melatonin, a pineal hormone, has various physiological functions in"" || ""pathways. Moreover, melatonin levels are decreased in patients with neurodegenerative diseases. In this review, we summarize current knowledge"" || ""Alzheimer's disease, Parkinson's disease, Huntington's disease, amyotrophic lateral sclerosis, vascular dementia and multiple sclerosis. We also discuss the"" || Neurodegenerative diseases are the second most common cause of death and characterized by progressive impairments in movement or mental functioning in the central or peripheral nervous system"	Cellular Mechanisms of Melatonin: Insight from Neurodegenerative Diseases.	10.3390/biom10081158	32784556	PMC7464852	2020	Biomolecules	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
13	val	0text13.txt	37fb3ee684b33aa4fedca66829e4933281754c14bac9d9d9a93b202bd09fdf38	high	abstract_prefix_exact_match	"""Huntington's disease (HD) is a neurodegenerative disorder caused by the aggregation of the mutant huntingtin (mHTT) protein in nerve cells"" || ""Huntington's disease (HD) is a neurodegenerative disorder caused by the aggregation of the mutant huntingtin (mHTT) protein in nerve cells. mHTT self-aggregates to form soluble oligomers and insoluble fibrils, which interfere in a number of"" || ""Huntington's disease (HD) is a neurodegenerative disorder caused by the aggregation of the mutant huntingtin (mHTT) protein in"" || ""which interfere in a number of key cellular functions. This leads to cell quiescence and ultimately cell death"" || ""review summarizes the current state of knowledge of the mRNA targeting approaches such as antisense oligonucleotides and RNAi"" || ""aggregates for degradation via the ubiquitin proteasome or the autophagy-lysosomal systems. These methods include the proteolysis-targeting chimera, Trim-Away"" || Huntington's disease (HD) is a neurodegenerative disorder caused by the aggregation of the mutant huntingtin (mHTT) protein in nerve cells"	Molecular Strategies to Target Protein Aggregation in Huntington's Disease.	10.3389/fmolb.2021.769184	34869596	PMC8636123	2021	Frontiers in molecular biosciences	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa|other-oa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
