doc_id	split	source_file	sha256_txt	match_confidence	match_reason	query_used	source_title	doi	pmid	pmcid	publication_year	journal	publisher	epmc_is_open_access	epmc_license	openalex_is_oa	openalex_oa_status	openalex_licenses	unpaywall_is_oa	unpaywall_oa_status	unpaywall_licenses	crossref_license_urls	source_text_decision	decision_rationale
2	train	0text2.txt	2a828f2b86e80fb7d73515e3e4f9aec80e3ba49a7185bcc63453cd65c251be61	high	abstract_prefix_exact_match	"""Mitochondria play an essential role in supplying energy for the health and survival of neurons."""	Mitophagy Regulates Neurodegenerative Diseases.	10.3390/cells10081876	34440645	PMC8392649	2021	Cells	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
10	train	0text10.txt	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	high	abstract_prefix_exact_match	"""There has been substantial progress in the development of regenerative medicine strategies for CNS disorders over the last decade, with progression to early clinical studies for some conditions."""	Translating cell therapies for neurodegenerative diseases: Huntington's disease as a model disorder.	10.1093/brain/awac086	35262656	PMC9166564	2022	Brain : a journal of neurology	Oxford University Press (OUP)	Y	cc by	True	hybrid	cc-by|other-oa|public-domain				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|public-domain
12	train	0text12.txt	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	high	abstract_prefix_exact_match	"""Neurodegenerative diseases are the second most common cause of death and characterized by progressive impairments in movement or mental functioning in the central or peripheral nervous system."""	Cellular Mechanisms of Melatonin: Insight from Neurodegenerative Diseases.	10.3390/biom10081158	32784556	PMC7464852	2020	Biomolecules	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
13	val	0text13.txt	37fb3ee684b33aa4fedca66829e4933281754c14bac9d9d9a93b202bd09fdf38	high	abstract_prefix_exact_match	"""Huntington's disease (HD) is a neurodegenerative disorder caused by the aggregation of the mutant huntingtin (mHTT) protein in nerve cells."""	Molecular Strategies to Target Protein Aggregation in Huntington's Disease.	10.3389/fmolb.2021.769184	34869596	PMC8636123	2021	Frontiers in molecular biosciences	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa|other-oa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
16	train	0text16.txt	b7a4b9e6c1567d5ea91c3ce493f9b7544f350194f144728f5e02cc33ff4cdc87	high	abstract_prefix_exact_match	"""Neurodegenerative diseases affect millions of people worldwide, yet there are currently no effective treatments."""	Mast Cells in Neurodegenerative Disease.	10.3389/fncel.2019.00171	31133804	PMC6524694	2019	Frontiers in cellular neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
28	test	0text28.txt	7b3835f12568b37b2fe6330a7d1e56a70fb9d74babef3f3ca391a585070cad58	high	abstract_prefix_exact_match	"""Huntington's disease (HD) is a rare neurodegenerative disease of the central nervous system characterized by choreatic movements, behavioral disturbances, and neuropsychiatric sequelae."""	Management of Agitation in Huntington's Disease: A Review of the Literature.	10.7759/cureus.9748	32944463	PMC7489774	2020	Cureus	Springer Science and Business Media LLC	Y	cc by	True	diamond	cc-by					include_text	clear_permissive_licence:cc-by
36	train	0text36.txt	80ead280084c907296ab5c4447a0ce71798fb5455d7e6c17e23f55bde34da5a1	high	abstract_prefix_exact_match	"""Substantial evidence indicates that oxidative/nitrosative stress contributes to the neurodegenerative diseases."""	Peroxiredoxins in Neurodegenerative Diseases.	10.3390/antiox9121203	33265993	PMC7761365	2020	Antioxidants (Basel, Switzerland)	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
40	train	0text40.txt	75f7caa9788cb91896af5445e0cf0f345e45f7c74c67833eea16de863d2f7796	high	abstract_prefix_exact_match	"""Cells have developed elaborate quality-control mechanisms for proteins and organelles to maintain cellular homeostasis."""	Autophagy in Neurodegenerative Diseases: A Hunter for Aggregates.	10.3390/ijms21093369	32397599	PMC7247013	2020	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
45	train	0text45.txt	ff0b8798041920c498e731a5989e59a851bf544f9da7c99921ad747a15567b42	high	abstract_prefix_exact_match	"""There is a growing body of evidence that prionoid protein behaviors are a core element of neurodegenerative diseases (NDs) that afflict humans."""	Prionoid Proteins in the Pathogenesis of Neurodegenerative Diseases.	10.3389/fnmol.2019.00271	31780895	PMC6861308	2019	Frontiers in molecular neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
61	train	0text61.txt	898af659cd3ed906411a0d5cad9a5ed0fae8dd5b0036dac169618b4218220f0e	high	abstract_prefix_exact_match	"""Neurodegenerative diseases are a major burden for our society, affecting millions of people worldwide."""	Proteotoxicity and Neurodegenerative Diseases.	10.3390/ijms21165646	32781742	PMC7460676	2020	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
76	train	0text76.txt	f3c1bf0e90c7b6070e2f94dcbbe77aee81d4407f79c12850be94323fa56a7cec	high	abstract_prefix_exact_match	"""Huntington's disease is a neurodegenerative disorder involving psychiatric, cognitive and motor symptoms."""	Faecal microbiota transplant ameliorates gut dysbiosis and cognitive deficits in Huntington's disease mice.	10.1093/braincomms/fcac205	36035436	PMC9400176	2022	Brain communications	Oxford University Press (OUP)	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by
90	train	0text90.txt	6b52308fdcd88acec5c667cce7eb68a4a8a34bc2eb313222884d82a3573b27b0	high	abstract_prefix_exact_match	"""Neurodegenerative diseases, including Alzheimer's, Parkinson's, Huntington's, and amyotrophic lateral sclerosis, are characterized by a progressive loss of selective neuron subtypes in the central nervous system (CNS)."""	Abnormal Mitochondrial Quality Control in Neurodegenerative Diseases.	10.3389/fncel.2020.00138	32655368	PMC7324542	2020	Frontiers in cellular neuroscience	Frontiers Media SA	Y	cc by	False	closed					https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by
100	train	0text100.txt	9ac9a88687e96a80902ad73979adff8b0749628233cafcf4c3455cb39b67a4da	high	abstract_prefix_exact_match	"""Huntington's disease (HD) is an inherited neurodegenerative disorder that usually starts during midlife with progressive alterations of motor and cognitive functions."""	Striatal Circuit Development and Its Alterations in Huntington’s Disease	10.20944/preprints202005.0488.v1			2020		MDPI AG	N	cc by	True	green	cc-by|other-oa				http://creativecommons.org/licenses/by/4.0	include_text	clear_permissive_licence:cc-by
104	test	0text104.txt	0c7b4b4d355e4fbe25779dcb929afc5abf8064927cd9d6ab11a138acf27bb1d4	high	abstract_prefix_exact_match	"""Huntington disease (HD) is an inherited neurodegenerative disease characterized by a clinical triad of motor, psychiatric and cognitive symptoms."""	The Onset and Progression of Hippocampal Synaptic Plasticity Deficits in the Q175FDN Mouse Model of Huntington Disease.	10.3389/fncel.2019.00326	31379510	PMC6650530	2019	Frontiers in cellular neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
105	train	0text105.txt	6e1697aba20edcaec01b4c45a67b7d7475f4e0c53199fce024d6f00f465b1e4d	high	abstract_prefix_exact_match	"""Berberine, as a natural alkaloid compound, is characterized by a diversity of pharmacological effects."""	Berberine: A Promising Treatment for Neurodegenerative Diseases.	10.3389/fphar.2022.845591	35668943	PMC9164284	2022	Frontiers in pharmacology	Frontiers Media SA	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by
107	train	0text107.txt	786e57bd2e906f8bd1ce0140c22c73a2b9f74115e0a352e8d8fd6be6c76fd422	high	first_sentence_match	"""Animal models of human neurodegenerative disease have been investigated for several decades."""	Zebrafish and Medaka: Important Animal Models for Human Neurodegenerative Diseases.	10.3390/ijms221910766	34639106	PMC8509648	2021	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
110	train	0text110.txt	999db2b375b9507473e86713d9dc6b4ff98d042e17f0388f2ae3b9e897157b12	high	abstract_prefix_exact_match	"""Neurodegenerative diseases (NDs), such as Alzheimer's disease (AD), Parkinson's disease (PD), Huntington's disease (HD), and amyotrophic lateral sclerosis (ALS), are disorders characterized by progressive degeneration of the nervous system."""	Physical Exercise-Induced Myokines in Neurodegenerative Diseases.	10.3390/ijms22115795	34071457	PMC8198301	2021	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
114	train	0text114.txt	8475aeabee85784bcd9ea2ac4c6ba3d69d1730f6dd82e8265f1aa6fd7c1542df	high	abstract_prefix_exact_match	"""Huntington disease (HD) is a neurodegenerative disease associated with polyglutamine expansion in the protein huntingtin (HTT)."""	Integrated multi-omics analysis of Huntington disease identifies pathways that modulate protein aggregation.	10.1242/dmm.049492	36052548	PMC10655815	2022	Disease models & mechanisms	The Company of Biologists	Y	cc by	True	gold	cc-by				http://creativecommons.org/licenses/by/4.0	include_text	clear_permissive_licence:cc-by
115	test	0text115.txt	63b262b99f1f46d08e73cc34fbd7bc737b8fe6e89e4c7d13a3c96e6bd3182dda	high	abstract_prefix_exact_match	"""The distinguishing pathogenic features of neurodegenerative diseases include mitochondrial dysfunction and derived reactive oxygen species generation."""	Antioxidant Therapeutic Strategies in Neurodegenerative Diseases.	10.3390/ijms23169328	36012599	PMC9409201	2022	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by
