doc_id	split	source_file	sha256_txt	match_confidence	match_reason	query_used	source_title	doi	pmid	pmcid	publication_year	journal	publisher	epmc_is_open_access	epmc_license	openalex_is_oa	openalex_oa_status	openalex_licenses	unpaywall_is_oa	unpaywall_oa_status	unpaywall_licenses	crossref_license_urls	source_text_decision	decision_rationale
1	train	0text1.txt	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	manual_review	weak_title_or_query_match	Parkinson's and Huntington's diseases are two of the most common neurodegenerative disorders.	The Impact of Chemical Toxicants and Air Pollutants on Neurodegenerative Disorders and Their Underlying Potential Mechanisms: A Literature Review.	10.1002/hsr2.72256	41988392	PMC13077662	2026	Health science reports	Wiley	Y	cc by-nc-nd	True	gold	cc-by|cc-by-nc-nd				http://creativecommons.org/licenses/by-nc-nd/4.0/|http://doi.wiley.com/10.1002/tdm_license_1.1	manual_review	match_manual_review:weak_title_or_query_match; restrictive_cc_licence:cc-by-nc-nd
4	train	0text4.txt	8a52b5c19dd9e90498cd0a8966fd6f045fba1a636d432e2a4993b1017bfff21f	high	abstract_prefix_exact_match	"""Olfactory dysfunction is a common symptom in patients with neurodegenerative disorders, including Huntington's disease (HD)."""	Olfactory Dysfunction in Huntington's Disease.	10.3233/jhd-210497	34719504	PMC8673514	2021	Journal of Huntington's disease	SAGE Publications	Y	cc by-nc	True	hybrid	cc-by-nc				https://creativecommons.org/licenses/by-nc/4.0/	manual_review	restrictive_cc_licence:cc-by-nc
11	test	0text11.txt	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	manual_review	weak_title_or_query_match	Background Retinal biomarkers in neurodegenerative disorders have attracted much attention in recent years.	Tear-derived extracellular vesicles as diagnostic biomarkers for ocular and neurodegenerative diseases: opportunities and challenges.	10.20517/evcna.2025.72	41132501	PMC12540264	2025	Extracellular vesicles and circulating nucleic acids	OAE Publishing Inc.	Y	cc by	True	hybrid	cc-by					manual_review	match_manual_review:weak_title_or_query_match; clear_permissive_licence:cc-by
14	test	0text14.txt	f80702e1846d63dc963c5767f25c8a75a7795f4aedbc754b818cf28ce24b0063	manual_review	weak_title_or_query_match	"""Background Palliative care practices, including communication about patient-centered goals of care and advance care planning (ACP), have the potential to enhance care throughout the course of Huntington's disease (HD) and related disorders."""	Primary Palliative Care in Huntington's Disease.	10.1002/mdc3.13589	36698999	PMC9847290	2023	Movement disorders clinical practice	Wiley	Y	cc by-nc	True	hybrid	cc-by-nc|other-oa				http://creativecommons.org/licenses/by-nc/4.0/	manual_review	match_manual_review:weak_title_or_query_match; restrictive_cc_licence:cc-by-nc
15	val	0text15.txt	f46cd48583e1edb8b5eb6274db85571b8c22a519df4ba569a7d5881743babdd5	manual_review	weak_title_or_query_match	Background: Although health-related quality of life is key for patients with long-term neurodegenerative conditions, measuring this is less straightforward and complex in Huntington's disease (HD).	Polymer-Based Electrochemical Sensors for the Diagnosis of Neurodegenerative Diseases.	10.1007/s10571-025-01570-0	40418370	PMC12106273	2025	Cellular and molecular neurobiology	Springer Science and Business Media LLC	Y	cc by-nc-nd	True	hybrid	cc-by-nc-nd|other-oa				https://creativecommons.org/licenses/by-nc-nd/4.0|https://creativecommons.org/licenses/by-nc-nd/4.0	manual_review	match_manual_review:weak_title_or_query_match; restrictive_cc_licence:cc-by-nc-nd
24	train	0text24.txt	5eb52c07ed139f2b5ba7830a7f73ac693449ce11c53ed605fc702970c49181df	high	abstract_prefix_exact_match	"""Many neurodegenerative diseases are associated with pathological aggregation of proteins in neurons."""	Targeting autophagy in neurodegenerative diseases: From molecular mechanisms to clinical therapeutics.	10.1111/1440-1681.13500	33752254	PMC8204470	2021	Clinical and experimental pharmacology & physiology	Wiley	N		True	green					http://onlinelibrary.wiley.com/termsAndConditions#vor	manual_review	unclassified_licence:http://onlinelibrary.wiley.com/termsandconditions#vor
26	train	0text26.txt	60a1092ea2ac09664b6a3f42fee200970fc3d5168cf64e215ef042296afd9d07	high	abstract_prefix_exact_match	"""As the population ages, the incidence and prevalence of neurodegenerative disorders will continue to increase."""	Effects of exercise on sleep in neurodegenerative disease.	10.1016/j.nbd.2020.104859	32243913	PMC7497904	2020	Neurobiology of disease	Elsevier BV	N	cc by-nc-nd	True	gold	cc-by-nc-nd|cc-by-sa				https://www.elsevier.com/tdm/userlicense/1.0/|https://www.elsevier.com/legal/tdmrep-license|http://creativecommons.org/licenses/by-nc-nd/4.0/	manual_review	restrictive_cc_licence:cc-by-nc-nd
27	test	0text27.txt	4856e5904ae56a2efb06f2b71f561fabc630bd2db260714108fd41e9b103db63	manual_review	weak_title_or_query_match	Neurodegenerative disease is a kind of disease caused by the degeneration of neurons and myelin sheaths.	The Future of PET Imaging in Multiple Sclerosis: Characterisation of Individual White Matter Lesions.	10.3390/jcm14134439	40648813	PMC12250503	2025	Journal of clinical medicine	MDPI AG	Y	cc by	True	gold	cc-by				https://creativecommons.org/licenses/by/4.0/	manual_review	match_manual_review:weak_title_or_query_match; clear_permissive_licence:cc-by
29	train	0text29.txt	3402272adbe0263772d389521c767a52a8381e9bca362586da5e084ae1bfff90	manual_review	weak_title_or_query_match	Background: Autonomy describes a psychological state of self-regulation of motivation and action, which is a central characteristic of healthy functioning.	Recognizing, Accepting, and Belonging: Patient Learning and Experiences in a Structured Headache Education Program.	10.2147/jmdh.s564841	41431470	PMC12718505	2025	Journal of multidisciplinary healthcare	Informa UK Limited	Y	cc by-nc	True	gold	cc-by-nc				https://creativecommons.org/licenses/by-nc/3.0/	manual_review	match_manual_review:weak_title_or_query_match; restrictive_cc_licence:cc-by-nc
66	train	0text66.txt	ef37c244137423d00e95cdd00afa61aa34713e450af6b794407da976caa30bf7	no_match	0	Epigenetic modifications in neurodegenerative diseases are just beginning to be studied; however, the growing interest in this phenomenon indicates its great importance in molecular mechanism of diseases and their phenot																	manual_review	match_no_match:0; no_clear_redistribution_licence
