doc_id	split	source_file	brat_txt_path	brat_ann_path	sentence_count	entity_count	sha256_txt	sha256_ann	has_released_text	source_title	doi	pmid	pmcid	wos_accession	publication_year	journal	abstract_licence_status	source_selection_query_id	source_metadata_status
0	test	0text0.txt	data/brat_core/train/0text0.txt	data/brat_core/train/0text0.ann	36	184	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	3c57d687ca02682e475da0e9521ebc746e8da4b99498be5261524b47527ddc41	yes	Huntington's Chorea-a Rare Neurodegenerative Autosomal Dominant Disease: Insight into Molecular Genetics, Prognosis and Diagnosis.	10.1007/s12010-021-03523-x	34235640	not_available_in_current_archive	not_available_in_current_archive	2021	Applied biochemistry and biotechnology	exclude_text	not_available_in_current_archive	high
1	train	0text1.txt	data/brat_core/train/0text1.txt	data/brat_core/train/0text1.ann	32	156	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	00d870e9c7d1d0a347f99af3fbc34be90fa5573b99a0d3cd13068f52791a6986	yes	Modeling of Neurodegenerative Diseases Using Discrete Chaotic Systems	10.1088/0253-6102/71/10/1241	not_available_in_current_archive	not_available_in_current_archive	not_available_in_current_archive	2019	Communications in Theoretical Physics	exclude_text	not_available_in_current_archive	high
2	train	0text2.txt	data/brat_core/train/0text2.txt	data/brat_core/train/0text2.ann	21	111	2a828f2b86e80fb7d73515e3e4f9aec80e3ba49a7185bcc63453cd65c251be61	e994acba90fa1edbfb5c140fd809c48e1ca900f087de9f1ecf3827f37a2b5b1a	yes	Mitophagy Regulates Neurodegenerative Diseases.	10.3390/cells10081876	34440645	PMC8392649	not_available_in_current_archive	2021	Cells	include_text	not_available_in_current_archive	high
4	train	0text4.txt	data/brat_core/train/0text4.txt	data/brat_core/train/0text4.ann	32	192	8a52b5c19dd9e90498cd0a8966fd6f045fba1a636d432e2a4993b1017bfff21f	d1e685e6e919ec5f967bac8f00a964707eb6ab4bca241c0a74a3361e0747bfce	yes	Olfactory Dysfunction in Huntington's Disease.	10.3233/jhd-210497	34719504	PMC8673514	not_available_in_current_archive	2021	Journal of Huntington's disease	exclude_text	not_available_in_current_archive	high
6	train	0text6.txt	data/brat_core/train/0text6.txt	data/brat_core/train/0text6.ann	20	84	8fd09aa504646225c615f2a75fc1fb37cffe463d9b4d5127cc4e2262d962c691	28270d3b30d83ef56f0c99cbd4f1ba57860b367895a67e54afd52e611746e7bd	yes	Nanotechnology: Its Application in Treating Neurodegenerative Diseases.	10.2174/1871527319666200916121515	32938356	not_available_in_current_archive	not_available_in_current_archive	2021	CNS & neurological disorders drug targets	exclude_text	not_available_in_current_archive	high
9	test	0text9.txt	data/brat_core/train/0text9.txt	data/brat_core/train/0text9.ann	24	204	059fc54e3d6ea10d8d437970ff9a653a56ab61de2a86b4750f1d2a4201cc6028	bb0067f042438bdfc934ccfa3457f1afc076e787a91eb8f35ae75715777fbe45	yes	DNA Damage Repair in Huntington's Disease and Other Neurodegenerative Diseases.	10.1007/s13311-019-00768-7	31364066	PMC6985310	not_available_in_current_archive	2019	Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics	exclude_text	not_available_in_current_archive	high
10	train	0text10.txt	data/brat_core/train/0text10.txt	data/brat_core/train/0text10.ann	44	292	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	2efdf6231f3b6c4ab7768cebece2cd81612f85e63cc362e3802387e76b539a63	yes	Translating cell therapies for neurodegenerative diseases: Huntington's disease as a model disorder.	10.1093/brain/awac086	35262656	PMC9166564	not_available_in_current_archive	2022	Brain : a journal of neurology	include_text	not_available_in_current_archive	high
11	test	0text11.txt	data/brat_core/train/0text11.txt	data/brat_core/train/0text11.ann	60	264	fd082b52fbaee7b0df1833c42455394484f6c90557d4caba0c9e363add6b1a15	6fa7c242f2afb1573c26513b5d013d4825412ebaaab920075cfc8750ccf190a8	yes	Huntington's disease and neurovascular structure of retina.	10.1007/s10072-022-06232-3	35771295	not_available_in_current_archive	not_available_in_current_archive	2022	Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology	exclude_text	not_available_in_current_archive	high
12	train	0text12.txt	data/brat_core/train/0text12.txt	data/brat_core/train/0text12.ann	32	276	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	14449d8919fc34e8c8e1d7de3999bbbf706af57a84a1a9a2235ed51e1ce5d0f7	yes	Cellular Mechanisms of Melatonin: Insight from Neurodegenerative Diseases.	10.3390/biom10081158	32784556	PMC7464852	not_available_in_current_archive	2020	Biomolecules	include_text	not_available_in_current_archive	high
13	val	0text13.txt	data/brat_core/train/0text13.txt	data/brat_core/train/0text13.ann	28	276	37fb3ee684b33aa4fedca66829e4933281754c14bac9d9d9a93b202bd09fdf38	308b83a6c6545b3b6a76a76376ca41825ef23726f2afc56ea45af70839b99756	yes	Molecular Strategies to Target Protein Aggregation in Huntington's Disease.	10.3389/fmolb.2021.769184	34869596	PMC8636123	not_available_in_current_archive	2021	Frontiers in molecular biosciences	include_text	not_available_in_current_archive	high
14	test	0text14.txt	data/brat_core/train/0text14.txt	data/brat_core/train/0text14.ann	44	260	f80702e1846d63dc963c5767f25c8a75a7795f4aedbc754b818cf28ce24b0063	8ba625365a331f6ef2b8624bbe310013d0b3138274d9523d73fad0e09b969873	yes	Primary Palliative Care in Huntington's Disease.	10.1002/mdc3.13589	36698999	PMC9847290	not_available_in_current_archive	2023	Movement disorders clinical practice	exclude_text	not_available_in_current_archive	high
15	val	0text15.txt	data/brat_core/train/0text15.txt	data/brat_core/train/0text15.ann	20	114	f46cd48583e1edb8b5eb6274db85571b8c22a519df4ba569a7d5881743babdd5	7f7085b63465baa6219e18cdcfe67c5751f9a19bbabc2d5e895753355bbf7568	yes	Meaningful and Measurable Health Domains in Huntington's Disease: Large-Scale Validation of the Huntington's Disease Health-Related Quality of Life Questionnaire Across Severity Stages.	10.1016/j.jval.2019.01.016	31198189	not_available_in_current_archive	not_available_in_current_archive	2019	Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research	exclude_text	not_available_in_current_archive	high
16	train	0text16.txt	data/brat_core/train/0text16.txt	data/brat_core/train/0text16.ann	32	288	b7a4b9e6c1567d5ea91c3ce493f9b7544f350194f144728f5e02cc33ff4cdc87	26d4bbd88e4c940803bcc076a3325eb7ab1e0815d7cceda5d1dae10836e89452	yes	Mast Cells in Neurodegenerative Disease.	10.3389/fncel.2019.00171	31133804	PMC6524694	not_available_in_current_archive	2019	Frontiers in cellular neuroscience	include_text	not_available_in_current_archive	high
