doc_id	split	source_file	sha256_txt	match_confidence	match_reason	query_used	source_title	doi	pmid	pmcid	publication_year	journal	publisher	epmc_is_open_access	epmc_license	openalex_is_oa	openalex_oa_status	openalex_licenses	unpaywall_is_oa	unpaywall_oa_status	unpaywall_licenses	crossref_license_urls	source_text_decision	decision_rationale
2	train	0text2.txt	2a828f2b86e80fb7d73515e3e4f9aec80e3ba49a7185bcc63453cd65c251be61	high	abstract_prefix_exact_match	"""Mitochondria play an essential role in supplying energy for the health and survival of neurons"" || ""Mitochondria play an essential role in supplying energy for the health and survival of neurons. Mitophagy is a"" || ""process that removes dysfunctional or redundant mitochondria. This process preserves mitochondrial health. However, defective mitophagy triggers the accumulation"" || ""and signaling pathways behind mitophagy regulation. Furthermore, we focus on the recent advances in understanding the potential role"" || ""advances in understanding the potential role of mitophagy in the pathogenesis of major neurodegenerative diseases (Parkinson's, Alzheimer's, Huntington's"" || Mitochondria play an essential role in supplying energy for the health and survival of neurons"	Mitophagy Regulates Neurodegenerative Diseases.	10.3390/cells10081876	34440645	PMC8392649	2021	Cells	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
10	train	0text10.txt	59998a276aeca4407f86f0fd84123d1de707bae41eb3814e15efc3a44edb5cb5	high	abstract_prefix_exact_match	"""There has been substantial progress in the development of regenerative medicine strategies for CNS disorders over the last decade, with progression to early clinical studies for some conditions"" || ""There has been substantial progress in the development of regenerative medicine strategies for CNS disorders over the last decade, with progression to early clinical studies for some conditions. However, there are multiple challenges along"" || ""There has been substantial progress in the development of regenerative medicine strategies for CNS disorders over the last"" || ""clinical studies; scaling-up, characterization, quality control and validation of the cell product; design, validation and approval of the"" || ""disease presents a clear unmet need, but, importantly, it is an autosomal dominant condition with a readily available"" || ""for Huntington's Disease and the European Huntington's Disease Network Advanced Therapies Working Group, established to identify the challenges"" || There has been substantial progress in the development of regenerative medicine strategies for CNS disorders over the last decade, with progression to early clinical studies for some conditions"	Translating cell therapies for neurodegenerative diseases: Huntington's disease as a model disorder.	10.1093/brain/awac086	35262656	PMC9166564	2022	Brain : a journal of neurology	Oxford University Press (OUP)	Y	cc by	True	hybrid	cc-by|other-oa|public-domain				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|public-domain
12	train	0text12.txt	6dad5f3ab8f5241fe8574a673995b052934d7ee176feaae3c65f9e5813fc968f	high	abstract_prefix_exact_match	"""Neurodegenerative diseases are the second most common cause of death and characterized by progressive impairments in movement or mental functioning in the central or peripheral nervous system"" || ""Neurodegenerative diseases are the second most common cause of death and characterized by progressive impairments in movement or"" || ""become an emerging public health challenge for our society. Melatonin, a pineal hormone, has various physiological functions in"" || ""pathways. Moreover, melatonin levels are decreased in patients with neurodegenerative diseases. In this review, we summarize current knowledge"" || ""Alzheimer's disease, Parkinson's disease, Huntington's disease, amyotrophic lateral sclerosis, vascular dementia and multiple sclerosis. We also discuss the"" || Neurodegenerative diseases are the second most common cause of death and characterized by progressive impairments in movement or mental functioning in the central or peripheral nervous system"	Cellular Mechanisms of Melatonin: Insight from Neurodegenerative Diseases.	10.3390/biom10081158	32784556	PMC7464852	2020	Biomolecules	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
13	val	0text13.txt	37fb3ee684b33aa4fedca66829e4933281754c14bac9d9d9a93b202bd09fdf38	high	abstract_prefix_exact_match	"""Huntington's disease (HD) is a neurodegenerative disorder caused by the aggregation of the mutant huntingtin (mHTT) protein in nerve cells"" || ""Huntington's disease (HD) is a neurodegenerative disorder caused by the aggregation of the mutant huntingtin (mHTT) protein in nerve cells. mHTT self-aggregates to form soluble oligomers and insoluble fibrils, which interfere in a number of"" || ""Huntington's disease (HD) is a neurodegenerative disorder caused by the aggregation of the mutant huntingtin (mHTT) protein in"" || ""which interfere in a number of key cellular functions. This leads to cell quiescence and ultimately cell death"" || ""review summarizes the current state of knowledge of the mRNA targeting approaches such as antisense oligonucleotides and RNAi"" || ""aggregates for degradation via the ubiquitin proteasome or the autophagy-lysosomal systems. These methods include the proteolysis-targeting chimera, Trim-Away"" || Huntington's disease (HD) is a neurodegenerative disorder caused by the aggregation of the mutant huntingtin (mHTT) protein in nerve cells"	Molecular Strategies to Target Protein Aggregation in Huntington's Disease.	10.3389/fmolb.2021.769184	34869596	PMC8636123	2021	Frontiers in molecular biosciences	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa|other-oa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
16	train	0text16.txt	b7a4b9e6c1567d5ea91c3ce493f9b7544f350194f144728f5e02cc33ff4cdc87	high	abstract_prefix_exact_match	"""Neurodegenerative diseases affect millions of people worldwide, yet there are currently no effective treatments"" || ""Neurodegenerative diseases affect millions of people worldwide, yet there are currently no effective treatments. Because risk of neurodegenerative"" || ""the coming decades. Thus, there is an urgent need for understanding the mechanisms driving neurodegenerative diseases in order"" || ""now receiving attention as a result of being first responders to injury. Mast cells also exert profound effects"" || ""neurogenesis and neurodegeneration. Mast cells also affect disruption/permeability of the blood brain barrier enabling toxin and immune cell"" || Neurodegenerative diseases affect millions of people worldwide, yet there are currently no effective treatments"	Mast Cells in Neurodegenerative Disease.	10.3389/fncel.2019.00171	31133804	PMC6524694	2019	Frontiers in cellular neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
28	test	0text28.txt	7b3835f12568b37b2fe6330a7d1e56a70fb9d74babef3f3ca391a585070cad58	high	abstract_prefix_exact_match	"""Huntington's disease (HD) is a rare neurodegenerative disease of the central nervous system characterized by choreatic movements, behavioral disturbances, and neuropsychiatric sequelae"" || ""Huntington's disease (HD) is a rare neurodegenerative disease of the central nervous system characterized by choreatic movements, behavioral"" || ""chromosome 4p16.3 in the Huntingtin gene. Huntington's disease demonstrates the genetic principle of anticipation, where the larger the"" || ""and there is a high rate of neuropsychiatric symptoms including depression, and aggressive behavior. A significant risk of"" || ""be asked to evaluate and make recommendations for the treatment of acute agitation in HD patients. This can"" || Huntington's disease (HD) is a rare neurodegenerative disease of the central nervous system characterized by choreatic movements, behavioral disturbances, and neuropsychiatric sequelae"	Management of Agitation in Huntington's Disease: A Review of the Literature.	10.7759/cureus.9748	32944463	PMC7489774	2020	Cureus	Springer Science and Business Media LLC	Y	cc by	True	diamond	cc-by					include_text	clear_permissive_licence:cc-by
36	train	0text36.txt	80ead280084c907296ab5c4447a0ce71798fb5455d7e6c17e23f55bde34da5a1	high	abstract_prefix_exact_match	"""Substantial evidence indicates that oxidative/nitrosative stress contributes to the neurodegenerative diseases"" || ""Substantial evidence indicates that oxidative/nitrosative stress contributes to the neurodegenerative diseases. Peroxiredoxins (PRDXs) are one of the enzymatic"" || ""mechanisms neutralizing reactive oxygen/nitrogen species. Since mammalian PRDXs were identified 30 years ago, their significance was long overshadowed"" || ""studies suggests that these enzymes may be involved in the neurodegenerative process. This article reviews the current knowledge"" || ""neurodegenerative process. This article reviews the current knowledge on the expression and putative roles of PRDXs in neurodegenerative"" || Substantial evidence indicates that oxidative/nitrosative stress contributes to the neurodegenerative diseases"	Peroxiredoxins in Neurodegenerative Diseases.	10.3390/antiox9121203	33265993	PMC7761365	2020	Antioxidants (Basel, Switzerland)	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
40	train	0text40.txt	75f7caa9788cb91896af5445e0cf0f345e45f7c74c67833eea16de863d2f7796	high	abstract_prefix_exact_match	"""Cells have developed elaborate quality-control mechanisms for proteins and organelles to maintain cellular homeostasis"" || ""Cells have developed elaborate quality-control mechanisms for proteins and organelles to maintain cellular homeostasis. Such quality-control mechanisms are"" || ""degradation through the ubiquitin-proteasome or autophagy-lysosome system. Accumulating evidence suggests that impaired autophagy contributes to the accumulation of"" || ""genes have been reported to be linked to neurodegenerative diseases, such as Alzheimer's disease, Parkinson's disease, and Huntington's"" || Cells have developed elaborate quality-control mechanisms for proteins and organelles to maintain cellular homeostasis"	Autophagy in Neurodegenerative Diseases: A Hunter for Aggregates.	10.3390/ijms21093369	32397599	PMC7247013	2020	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
45	train	0text45.txt	ff0b8798041920c498e731a5989e59a851bf544f9da7c99921ad747a15567b42	high	abstract_prefix_exact_match	"""There is a growing body of evidence that prionoid protein behaviors are a core element of neurodegenerative diseases (NDs) that afflict humans"" || ""There is a growing body of evidence that prionoid protein behaviors are a core element of neurodegenerative diseases (NDs) that afflict humans. Common elements in pathogenesis, pathological effects and protein-level behaviors exist between"" || ""There is a growing body of evidence that prionoid protein behaviors are a core element of neurodegenerative diseases"" || ""humans. Common elements in pathogenesis, pathological effects and protein-level behaviors exist between Alzheimer's Disease (AD), Parkinson's Disease (PD)"" || ""to glial cells and processes. This results in a complicated system of disease progression, which often takes advantage"" || ""which often takes advantage of protective processes to promote the propagation of pathological protein aggregates. This review article"" || There is a growing body of evidence that prionoid protein behaviors are a core element of neurodegenerative diseases (NDs) that afflict humans"	Prionoid Proteins in the Pathogenesis of Neurodegenerative Diseases.	10.3389/fnmol.2019.00271	31780895	PMC6861308	2019	Frontiers in molecular neuroscience	Frontiers Media SA	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
61	train	0text61.txt	898af659cd3ed906411a0d5cad9a5ed0fae8dd5b0036dac169618b4218220f0e	high	abstract_prefix_exact_match	"""Neurodegenerative diseases are a major burden for our society, affecting millions of people worldwide"" || ""Neurodegenerative diseases are a major burden for our society, affecting millions of people worldwide. A main goal of"" || ""our understanding of the mechanisms underlying proteotoxicity, a common theme among these incurable and debilitating conditions. Cell proteome"" || ""behind the affected molecular pathways constitutes a daunting challenge. This review summarizes the current state on key processes"" || ""to cellular proteotoxicity in Alzheimer's disease, Parkinson's disease, Huntington's disease, and amyotrophic lateral sclerosis, providing a comprehensive landscape"" || Neurodegenerative diseases are a major burden for our society, affecting millions of people worldwide"	Proteotoxicity and Neurodegenerative Diseases.	10.3390/ijms21165646	32781742	PMC7460676	2020	International journal of molecular sciences	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
